id,street,city,state,postalcode,Google/street,Google/city,Google/state,Google/postalcode
1205613,"114-116 MAIN STREET","COLD SPRING",NY,,"114 Main Street","Cold Spring","New York",10516
1205614,"114-116 MAIN STREET","COLD SPRING",NY,,"114 Main Street","Cold Spring","New York",10516
1205615,"114-39 SUTPHIN BLVD",QUEENS,NY,,"114-39 Sutphin Boulevard",Queens,"New York",11434
1205616,"114-49 SUTPHIN BLVD",JAMAICA,NY,,"114-49 Sutphin Boulevard",Queens,"New York",11434
1205617,"114/118 EAST 85TH STREET","NEW YORK",NY,10028,"118 East 85th Street","New York","New York",10028
1205618,"1140 CLAY AVENUE",BRONX,NY,,"1140 Clay Avenue",Bronx,"New York",10456
1205619,"1141 LEGGETT AVENUE",BRONX,NY,10451,"1141 Leggett Avenue",Bronx,"New York",10474
1205620,"1141 TIFFANY STREET",BRONX,NY,,"1141 Tiffany Street",Bronx,"New York",10459
1205621,"1141 WANTAGH AVE",WANTAGH,NY,,"1141 Wantagh Avenue",Wantagh,"New York",11793
1205622,"1142 WILMOT RD",SCARSDALE,NY,,"1142 Wilmot Road",Scarsdale,"New York",10583
1205623,"1142-44 FRANKLIN AVE",BRONX,NY,,"1142 Franklin Avenue",Bronx,"New York",10456
1205624,"1144 LYDIG AVENUE",BRONX,NY,10461,"1144 Lydig Avenue",Bronx,"New York",10461
1205625,"1144 PELHAM PARKWAY S",BRONX,NY,,"1144 Pelham Parkway South",Bronx,"New York",10461
1205626,"1144 PELHAM PARKWAY S",BRONX,NY,,"1144 Pelham Parkway South",Bronx,"New York",10461
1205627,"1144 ST JOHNS PLACE",BROOKLYN,NY,,"1144 Saint Johns Place",Brooklyn,"New York",11213
1205628,"1144 ST. NICHOLAS AVENUE",BROOKLYN,NY,
1205629,"1145 LONGWOOD AVENUE",BRONX,NY,10474,"1145 Longwood Avenue",Bronx,"New York",10474
1205630,"1145 SOUTHERN BLVD",BRONX,NY,,"1145 Southern Boulevard",Bronx,"New York",10459
1205631,"1148 FLATBUSH AVE",BROOKLYN,NY,,"1148 Flatbush Avenue",Brooklyn,"New York",11226
1205632,"1148 FLATBUSH AVENUE",BROOKLYN,NY,,"1148 Flatbush Avenue",Brooklyn,"New York",11226
1205633,"1149 ELTON STREET",BROOKLYN,NY,,"1149 Elton Street",Brooklyn,"New York",11207
1205634,"1149 MORRIS AVE",BRONX,NY,,"1149 Morris Avenue",Bronx,"New York",10456
1205635,"1149 TIFFANY STREET",BRONX,NY,,"1149 Tiffany Street",Bronx,"New York",10459
1205636,"115 5TH AVENUE","NEW YORK",NY,,"115 5th Avenue","New York","New York",10003
1205637,"115 BLOOMINGDALE RD",HICKSVILLE,NY,,"115 Bloomingdale Road",Hicksville,"New York",11801
1205638,"115 BOWERY","NEW YORK",NY,,"115 Bowery","New York","New York",10002
1205639,"115 CHAMBERS STREET","NEW YORK",NY,,"115 Chambers Street","New York","New York",10007
1205640,"115 CLYMER STREET",BROOKLYN,NY,,"115 Clymer Street",Brooklyn,"New York",11249
1205641,"115 DREISER LOOP",BRONX,NY,,"115 Dreiser Loop",Bronx,"New York",10475
1205642,"115 EAST 101ST STREET","NEW YORK",NY,,"115 East 101st Street","New York","New York",10029
1205643,"115 EAST 106TH ST.","NEW YORK",NY,10029,"115 East 106th Street","New York","New York",10029
1205644,"115 EAST 10TH STREET","NEW YORK",NY,10003,"115 East 10th Street","New York","New York",10003
1205645,"115 EAST 115TH STREET","NEW YORK",NY,,"115 East 115th Street","New York","New York",10029
1205646,"115 EAST 169TH STREET",BRONX,NY,,"115 East 169th Street",Bronx,"New York",10452
1205647,"115 EAST 23RD STREET, 6TH FLOOR","NEW YORK",NY,10010,"115 East 23rd Street","New York","New York",10010
1205648,"115 EAST 34TH STREET","NEW YORK",NY,10016,"115 East 34th Street","New York","New York",10016
1205649,"115 ESSEX STREET","NEW YORK",NY,,"115 Essex Street","New York","New York",10002
1205650,"115 FIFTH AVENUE","NEW YORK",NY,,"115 5th Avenue","New York","New York",10003
1205651,"115 FIFTH AVENUE","NEW YORK",NY,,"115 5th Avenue","New York","New York",10003
1205652,"115 MERCER STREET","NEW YORK",NY,,"115 Mercer Street","New York","New York",10012
1205653,"115 MERCER STREET","NEW YORK",NY,,"115 Mercer Street","New York","New York",10012
1205654,"115 MERCER STREET","NEW YORK",NY,,"115 Mercer Street","New York","New York",10012
1205655,"115 WEST 11TH STREET","NEW YORK",NY,10011,"115 West 11th Street","New York","New York",10011
1205656,"115 WEST 172ND ST.",BRONX,NY,,"115 West 172nd Street",Bronx,"New York",10452
1205657,"115 WEST 18TH ST","NEW YORK",NY,,"115 West 18th Street","New York","New York",10011
1205658,"115 WEST 18TH STREET","NEW YORK",NY,,"115 West 18th Street","New York","New York",10011
1205659,"115 WEST 18TH STREET","NEW YORK",NY,,"115 West 18th Street","New York","New York",10011
1205660,"115 WEST 29TH STREET","NEW YORK",NY,,"115 West 29th Street","New York","New York",10001
1205661,"115-121 WOOSTER STREET","NEW YORK",NY,,"115 Wooster Street","New York","New York",10012
1205662,"1150 60TH STREET",BROOKLYN,NY,,"1150 60th Street",Brooklyn,"New York",11219
1205663,"1150 BRONX RIVER AVENUE",BRONX,NY,,"1150 Bronx River Avenue",Bronx,"New York",10472
1205664,"1150 CASTLETON AVENUE","STATEN ISLAND",NY,,"1150 Castleton Avenue","Staten Island","New York",10310
1205665,"1150 PARK AVE","NEW YORK",NY,,"1150 Park Avenue","New York","New York",10128
1205666,"1150 PELHAM PARKWAY SOUTH",BRONX,NY,10461,"1150 Pelham Parkway South",Bronx,"New York",10461
1205667,"1150 TIFFANY STREET",BRONX,NY,,"1150 Tiffany Street",Bronx,"New York",10459
1205668,"1150 WEBSTER AVENUE",BRONX,NY,,"1150 Webster Avenue",Bronx,"New York",10456
1205669,"1150 WEBSTER AVENUE, 2ND FLOOR TENANT",BRONX,NY,,"1150 Webster Avenue",Bronx,"New York",10456
1205670,"1151 THIRD AVENUE","NEW YORK",NY,10065,"1151 3rd Avenue","New York","New York",10065
1205671,"1152 BRONX RIVER AVENUE",BRONX,NY,,"1152 Bronx River Avenue",Bronx,"New York",10472
1205672,"1152 ELTON STREET",BROOKLYN,NY,,"1152 Elton Street",Brooklyn,"New York",11239
1205673,"1154-80 LONGFELLOW AVE",BRONX,NY,,"1154 Longfellow Avenue",Bronx,"New York",10459
1205674,"1155 HOE AVE",BRONX,NY,,"1155 Hoe Avenue",Bronx,"New York",10459
1205675,"1155 NORTHERN BLVD",MANHASSET,NY,,"1155 Northern Boulevard",Manhasset,"New York",11030
1205676,"1155 WALTON AVE",BRONX,NY,,"1155 Walton Avenue",Bronx,"New York",10452
1205677,"1155-1157 THIRD AVE","NEW YORK",NY,,"1155 3rd Avenue","New York","New York",10065
1205678,"1155-57 THIRD AVE","NEW YORK",NY,,"1155 3rd Avenue","New York","New York",10065
1205679,"1155-59 SOUTHERN BLVD.",BRONX,NY,10452,"1155 Southern Boulevard",Bronx,"New York",10459
1205680,"1156 DEAN STREET",BROOKLYN,NY,,"1156 Dean Street",Brooklyn,"New York",11216
1205681,"1156 NORTH BROADWAY, 2ND FLOOR",YONKERS,NY,,"1156 North Broadway",Yonkers,"New York",10701
1205682,"1157 INTERVALE AVE",BRONX,NY,,"1157 Intervale Avenue",Bronx,"New York",10459
1205683,"1157 INTERVALE AVE",BRONX,NY,,"1157 Intervale Avenue",Bronx,"New York",10459
1205684,"1157 MORRIS AVE",BRONX,NY,,"1157 Morris Avenue",Bronx,"New York",10456
1205685,"1158 INTERVALE AVE",BRONX,NY,,"1158 Intervale Avenue",Bronx,"New York",10459
1205686,"116 CENTRAL PARK SOUTH","NEW YORK",NY,10019,"116 Central Park South","New York","New York",10019
1205687,"116 CHESTNUT RIDGE ROAD",MT.KISCO,NY,,"116 Chestnut Ridge Road","Mount Kisco","New York",10549
1205688,"116 CHURCH STREET",FREEPORT,NY,,"116-120 Church Street",Freeport,"New York",11520
1205689,"116 EAST 124TH STREET","NEW YORK",NY,,"116 East 124th Street","New York","New York",10035
1205690,"116 EAST 124TH STREET","NEW YORK",NY,,"116 East 124th Street","New York","New York",10035
1205691,"116 EAST 17TH STREET","NEW YORK",NY,10003,"116 East 17th Street","New York","New York",10003
1205692,"116 EAST 37TH STREET","NEW YORK",NY,,"116 East 37th Street","New York","New York",10016
1205693,"116 EAST 63RD STREET","NEW YORK",NY,,"116 East 63rd Street","New York","New York",10065
1205694,"116 MAIN STREET",NYACK,NY,,"116 Main Street",Nyack,"New York",10960
1205695,"116 WEST 136TH STREET","NEW YORK",NY,,"116 West 136th Street","New York","New York",10030
1205696,"116 WEST 28TH STREET","NEW YORK",NY,,"116 West 28th Street","New York","New York",10001
1205697,"116 WEST 75TH STREET","NEW YORK",NY,10023,"116 West 75th Street","New York","New York",10023
1205698,"116 WEST 80TH STREET","NEW YORK",NY,,"116 West 80th Street","New York","New York",10024
1205699,"116 WEST 80TH STREET","NEW YORK",NY,10011,"116 West 80th Street","New York","New York",10024
1205700,"116-118 JEFFERSON AVENUE",BROOKLYN,NY,,"116 Jefferson Avenue",Brooklyn,"New York",11216
1205701,"116-21 METROPOLITAN AVE",QUEENS,NY,,"11621 Metropolitan Avenue",Queens,"New York",11418
1205702,"116-21 METROPOLITAN AVENUE","RICHMOND HILL",NY,11418,"11621 Metropolitan Avenue",Queens,"New York",11418
1205703,"116-66 PARK LANE SOUTH","KEW GARDENS",NY,,"116-66 Park Lane South",Queens,"New York",11418
1205704,"116/122 EAST 124TH STREET, 4TH FLOOR","NEW YORK",NY,,"116 East 124th Street","New York","New York",10035
1205705,"116/122 EAST 124TH STREET, 5TH FLOOR","NEW YORK",NY,,"116 East 124th Street","New York","New York",10035
1205706,"1160 COLGATE AVE.",BRONX,NY,10472,"1160 Colgate Avenue",Bronx,"New York",10472
1205707,"1160 FIFTH AVE","NEW YORK",NY,,"1160 5th Avenue","New York","New York",10029
1205708,"1160 FULTON STREET",BROOKLYN,NY,11216,"1160 Fulton Street",Brooklyn,"New York",11216
1205709,"1160 WORTHEN STREET",BRONX,NY,,"1160 Worthen Street",Bronx,"New York",10474
1205710,"1162 SHERIDAN AVE",BRONX,NY,,"1162 Sheridan Avenue",Bronx,"New York",10456
1205711,"1162-64 SHERIDAN AVE",BRONX,NY,,"1162 Sheridan Avenue",Bronx,"New York",10456
1205712,"1163 CASTLE HILL AVENUE",BRONX,NY,,"1163 Castle Hill Avenue",Bronx,"New York",10462
1205713,"1163 SUTTER AVENUE",BROOKLYN,NY,,"1163 Sutter Avenue",Brooklyn,"New York",11208
1205714,"1165 ELTON STREET",BROOKLYN,NY,,"1165 Elton Street",Brooklyn,"New York",11207
1205715,"1165 LONGWOOD AVENUE",BRONX,NY,,"1165 Longwood Avenue",Bronx,"New York",10474
1205716,"1165 WASHINGTON AVE",BRONX,NY,,"1165 Washington Avenue",Bronx,"New York",10456
1205717,"1166 ELTON STREET",BROOKLYN,NY,,"1166 Elton Street",Brooklyn,"New York",11239
1205718,"1169-95 EAST 156TH ST.",BRONX,NY,10474,"1169 East 156th Street",Bronx,"New York",10474
1205719,"117 BEEKMAN STREET","NEW YORK",NY,,"117 Beekman Street","New York","New York",10038
1205720,"117 EAST 10TH STREET","NEW YORK",NY,10003,"117 East 10th Street","New York","New York",10003
1205721,"117 EAST 10TH STREET","NEW YORK",NY,,"117 East 10th Street","New York","New York",10003
1205722,"117 EAST 59TH STREET","NEW YORK",NY,,"117 East 59th Street","New York","New York",10022
1205723,"117 EAST 7TH STREET","NEW YORK",NY,,"117 East 7th Street","New York","New York",10009
1205724,"117 ROCKLAND CENTER",NANUET,NY,,"117 Rockland Center",Nanuet,"New York",10954
1205725,"117 VAN BUREN STREET",BROOKLYN,NY,,"117 Van Buren Street",Brooklyn,"New York",11221
1205726,"117 WEST 116TH STREET","NEW YORK",NY,10026,"117 West 116th Street","New York","New York",10026
1205727,"117 WEST 116TH STREET","NEW YORK",NY,,"117 West 116th Street","New York","New York",10026
1205728,"117 WEST 119TH STREET","NEW YORK",NY,,"117 West 119th Street","New York","New York",10026
1205729,"1170 RANDALL AVE.",BRONX,NY,,"1170 Randall Avenue",Bronx,"New York",10474
1205730,"1170 WEBSTER AVE",BRONX,NY,,"1170 Webster Avenue",Bronx,"New York",10456
1205731,"1170-1180 COMMERCE AVENUE",BRONX,NY,,"1170 Commerce Avenue",Bronx,"New York",10462
1205732,"1171 WASHINGTON AVE",BRONX,NY,,"1171 Washington Avenue",Bronx,"New York",10456
1205733,"1171-1201 JEROME AVE.",BRONX,NY,,"1171 Jerome Avenue",Bronx,"New York",10452
1205734,"1172 PARK AVE","NEW YORK",NY,,"1172 Park Avenue","New York","New York",10128
1205735,"1173 WORTHEN STREET",BRONX,NY,,"1173 Worthen Street",Bronx,"New York",10474
1205736,"1173/1175 WALTON AVENUE",BRONX,NY,,"1175 Walton Avenue",Bronx,"New York",10452
1205737,"1175 FINDLAY AVE",BRONX,NY,,"1175 Findlay Avenue",Bronx,"New York",10456
1205738,"1176 FOREST AVE",BRONX,NY,,"1176 Forest Avenue",Bronx,"New York",10456
1205739,"1177 LONGWOOD AVENUE",BRONX,NY,,"1177 Longwood Avenue",Bronx,"New York",10474
1205740,"1177 WHEELER AVE",BRONX,NY,,"1177 Wheeler Avenue",Bronx,"New York",10472
1205741,"1178 ANDERSON AVE",BRONX,NY,,"1178 Anderson Avenue",Bronx,"New York",10452
1205742,"1178 ANDERSON AVE",BRONX,NY,,"1178 Anderson Avenue",Bronx,"New York",10452
1205743,"1178 ELDER AVENUE",BRONX,NY,10472,"1178 Elder Avenue",Bronx,"New York",10472
1205744,"1179 LONGWOOD AVENUE",BRONX,NY,,"1179 Longwood Avenue",Bronx,"New York",10474
1205745,"118 EAST 102ND STREET","NEW YORK",NY,10029,"118 East 102nd Street","New York","New York",10029
1205746,"118 GREENPOINT AVENUE",BROOKLYN,NY,11222,"118 Greenpoint Avenue",Brooklyn,"New York",11222
1205747,"118 HART STREET",BROOKLYN,NY,,"118 Hart Street",Brooklyn,"New York",11206
1205748,"118 HART STREET",BROOKLYN,NY,,"118 Hart Street",Brooklyn,"New York",11206
1205749,"118 NEW MAIN STREET",YONKERS,NY,,"118 New Main Street",Yonkers,"New York",10701
1205750,"118 WEST 27TH ST","NEW YORK",NY,,"118 West 27th Street","New York","New York",10001
1205751,"118 WEST 74TH STREET","NEW YORK",NY,,"118 West 74th Street","New York","New York",10023
1205752,"118 WEST 75TH STREET","NEW YORK",NY,10023,"118 West 75th Street","New York","New York",10023
1205753,"118-01 GUY BREWER BLVD",QUEENS,NY,11434,"118-01 Guy R Brewer Boulevard",Queens,"New York",11434
1205754,"118-09 83RD AVENUE","KEW GARDENS",NY,11415,"118-09 83rd Avenue",Queens,"New York",11415
1205755,"118-11 GUY R BREWER BLVD",QUEENS,NY,,"118-11 Guy R Brewer Boulevard",Queens,"New York",11434
1205756,"118-22 WEST 58TH STREET","NEW YORK",NY,10019,"118 West 58th Street","New York","New York",10019
1205757,"1180 GERARD AVE",BRONX,NY,,"1180 Gerard Avenue",Bronx,"New York",10452
1205758,"1180 MORRIS PARK AVE",BRONX,NY,,"1180 Morris Park Avenue",Bronx,"New York",10461
1205759,"1181 GRAND ST.",BROOKLYN,NY,11211,"1181 Grand Street",Brooklyn,"New York",11211
1205760,"1181 SHERIDAN AVENUE",BRONX,NY,,"1181 Sheridan Avenue",Bronx,"New York",10456
1205761,"1181 WALTON AVENUE",BRONX,NY,,"1181 Walton Avenue",Bronx,"New York",10452
1205762,"1181/1187 GRAND CONCOURSE",BRONX,NY,10457,"1187 Grand Concourse",Bronx,"New York",10452
1205763,"1185 CARROLL STREET, AKA 837/63 NOSTRAND AVE.",BROOKLYN,NY,,"1185 Carroll Street",Brooklyn,"New York",11225
1205764,"1185 COMMERCE AVE.",BRONX,NY,,"1185 Commerce Avenue",Bronx,"New York",10462
1205765,"1187 ANDERSON AVE.",BRONX,NY,,"1187 Anderson Avenue",Bronx,"New York",10452
1205766,"1187 BOSTON ROAD",BRONX,NY,,"1187 Boston Road",Bronx,"New York",10456
1205767,"1187 EAST 156TH STREET",BRONX,NY,,"1187 East 156th Street",Bronx,"New York",10474
1205768,"1188 SIXTH AVENUE","NEW YORK",NY,10036,"1188 6th Avenue","New York","New York",10036
1205769,"119 BOWERY","NEW YORK",NY,,"119 Bowery","New York","New York",10002
1205770,"119 EAST 10TH STREET","NEW YORK",NY,10003,"119 East 10th Street","New York","New York",10003
1205771,"119 EAST 233RD STREET",BRONX,NY,,"119 East 233rd Street",Bronx,"New York",10470
1205772,"119 EAST 23RD STREET","NEW YORK",NY,,"119 East 23rd Street","New York","New York",10010
1205773,"119 FOUNTAIN AVE",BROOKLYN,NY,,"119 Fountain Avenue",Brooklyn,"New York",11208
1205774,"119 SOUTH 3RD STREET","NEW HYDE PARK",NY,,"119 South 3rd Street","New Hyde Park","New York",11040
1205775,"119 WEST 23RD STREET","NEW YORK",NY,,"119 West 23rd Street","New York","New York",10011
1205776,"119 WEST 72ND STREET","NEW YORK",NY,,"119 West 72nd Street","New York","New York",10023
1205777,"1190 COMMERCE AVENUE",BRONX,NY,,"1190 Commerce Avenue",Bronx,"New York",10462
1205778,"1191 ANDERSON AVE",BRONX,NY,,"1191 Anderson Avenue",Bronx,"New York",10452
1205779,"1191 BROADWAY",BROOKLYN,NY,,"1191 Broadway",Brooklyn,"New York",11221
1205780,"1192 DEAN STREET",BROOKLYN,NY,,"1192 Dean Street",Brooklyn,"New York",11216
1205781,"1194 SHERMAN AVE",BRONX,NY,,"1194 Sherman Avenue",Bronx,"New York",10456
1205782,"1195 ANDERSON AVE",BRONX,NY,,"1195 Anderson Avenue",Bronx,"New York",10452
1205783,"1195 FULTON AVE",BRONX,NY,,"1195 Fulton Avenue",Bronx,"New York",10456
1205784,"1195 NORTH AVENUE","NEW ROCHELLE",NY,,"1195 North Avenue","New Rochelle","New York",10804
1205785,"1197 GRAND CONCOURSE",BRONX,NY,,"1197 Grand Concourse",Bronx,"New York",10452
1205786,"1197 GRAND CONCOURSE",BRONX,NY,,"1197 Grand Concourse",Bronx,"New York",10452
1205787,"1198 PACIFIC STREET",BROOKLYN,NY,,"1198 Pacific Street",Brooklyn,"New York",11216
1205788,"1199 FULTON AVE",BRONX,NY,,"1199 Fulton Avenue",Bronx,"New York",10456
1205789,"12 BARNABY LANE",HARTSDALE,NY,10607,"12 Barnaby Lane",Hartsdale,"New York",10530
1205790,"12 EAST 14TH STREET","NEW YORK",NY,,"12 East 14th Street","New York","New York",10003
1205791,"12 EAST 167TH STREET",BRONX,NY,,"12 East 167th Street",Bronx,"New York",10452
1205792,"12 EAST 32ND STREET","NEW YORK",NY,,"12 East 32nd Street","New York","New York",10016
1205793,"12 EAST 42ND STREET","NEW YORK",NY,,"12 East 42nd Street","New York","New York",10017
1205794,"12 EAST 44TH STREET","NEW YORK",NY,,"12 East 44th Street","New York","New York",10017
1205795,"12 EAST 44TH STREET","NEW YORK",NY,,"12 East 44th Street","New York","New York",10017
1205796,"12 EAST 62ND ST.","NEW YORK",NY,,"12 East 62nd Street","New York","New York",10065
1205797,"12 EAST 86TH STREET","NEW YORK",NY,10028,"12 East 86th Street","New York","New York",10028
1205798,"12 EAST CLARKE PLACE",BRONX,NY,,"12 East Clarke Place",Bronx,"New York",10452
1205799,"12 HARRISON STREET","NEW YORK",NY,,"12 Harrison Street","New York","New York",10013
1205800,"12 NORTH BROADWAY",YONKERS,NY,,"12 North Broadway",Yonkers,"New York",10701
1205801,"12 OLD MAMARONECK RD","WHITE PLAINS",NY,,"12 Old Mamaroneck Road","White Plains","New York",10605
1205802,"12 OLD MAMARONECK RD","WHITE PLAINS",NY,10603,"12 Old Mamaroneck Road","White Plains","New York",10605
1205803,"12 PATCHEN AVE",BROOKLYN,NY,,"12 Patchen Avenue",Brooklyn,"New York",11221
1205804,"12 WEST 12TH STREET","NEW YORK",NY,,"12 West 12th Street","New York","New York",10011
1205805,"12 WEST 18TH STREET","NEW YORK",NY,,"12 West 18th Street","New York","New York",10011
1205806,"12 WEST 23RD ST. 3RD FL","NEW YORK",NY,,"12 West 23rd Street","New York","New York",10010
1205807,"12 WEST 32ND STREET","NEW YORK",NY,,"12 West 32nd Street","New York","New York",10001
1205808,"12 WEST 32ND STREET","NEW YORK",NY,,"12 West 32nd Street","New York","New York",10001
1205809,"12 WEST 45TH ST.","NEW YORK",NY,10036,"12 West 45th Street","New York","New York",10036
1205810,"12 WHITE STREET","NEW YORK",NY,,"12 White Street","New York","New York",10013
1205811,"12 WOOSTER STREET","NEW YORK",NY,,"12 Wooster Street","New York","New York",10013
1205812,"12 WORTH ST.",YONKERS,NY,10701,"12 Worth Street",Yonkers,"New York",10701
1205813,"12-01 44TH AVENUE","LONG ISLAND CTY",NY,11101,"12-01 44th Avenue",Queens,"New York",11101
1205814,"12-13 NEILSON STREET","FAR ROCKAWAY",NY,11691,"12-13 Neilson Street",Queens,"New York",11691
1205815,"12-14 NORTH BROADWAY",YONKERS,NY,,"12 North Broadway",Yonkers,"New York",10701
1205816,"12-28 EAST 167TH ST.",BRONX,NY,10452,"12 East 167th Street",Bronx,"New York",10452
1205817,"12/16 EAST 14TH STREET, 12 EAST 14TH STREET AKA","NEW YORK",NY,10003
1205818,"120 ANDERSON AVENUE","MT. VERNON",NY,,"120 Anderson Avenue","Mount Vernon","New York",10550
1205819,"120 ANDERSON AVENUE","MT. VERNON",NY,,"120 Anderson Avenue","Mount Vernon","New York",10550
1205820,"120 BEACH 17TH STREET","FAR ROCKAWAY",NY,11691,"120 Beach 17th Street",Queens,"New York",11691
1205821,"120 BEACH 19TH STREET","FAR ROCKAWAY",NY,11691,"120 Beach 19th Street",Queens,"New York",11691
1205822,"120 BLOOMINGDALE RD","WHITE PLAINS",NY,,"120 Bloomingdale Road","White Plains","New York",10605
1205823,"120 BRUCKNER BLVD.",BRONX,NY,10454,"120 Bruckner Boulevard",Bronx,"New York",10454
1205824,"120 CABRINI BLVD","NEW YORK",NY,,"120 Cabrini Boulevard","New York","New York",10033
1205825,"120 EAGLE ROCK","EAST HANOVER",NJ,,"120 Eagle Rock Avenue","East Hanover","New Jersey",07936
1205826,"120 EAST 110TH STREET","NEW YORK",NY,,"120 East 110th Street","New York","New York",10029
1205827,"120 EAST 17TH STREET","NEW YORK",NY,,"120 East 17th Street","New York","New York",10003
1205828,"120 EAST 17TH STREET","NEW YORK",NY,10003,"120 East 17th Street","New York","New York",10003
1205829,"120 EAST 19TH STREET",BROOKLYN,NY,,"120 East 19th Street",Brooklyn,"New York",11226
1205830,"120 EAST 210TH STREET",BRONX,NY,10458,"120 East 210th Street",Bronx,"New York",10467
1205831,"120 EAST 29TH STREET","NEW YORK",NY,,"120 East 29th Street","New York","New York",10016
1205832,"120 EAST 29TH STREET","NEW YORK",NY,,"120 East 29th Street","New York","New York",10016
1205833,"120 EAST 64TH STREET","NEW YORK",NY,,"120 East 64th Street","New York","New York",10065
1205834,"120 EAST POST RD","WHITE PLAINS",NY,,"120 East Post Road","White Plains","New York",10601
1205835,"120 FULTON ST.","NEW YORK",NY,,"120 Fulton Street","New York","New York",10038
1205836,"120 GALE PLACE",BRONX,NY,10463,"120 Gale Place",Bronx,"New York",10463
1205837,"120 GREENWICH STREET","NEW YORK",NY,,"120 Greenwich Street","New York","New York",10006
1205838,"120 MAIN STREET",TUCKAHOE,NY,,"120 Main Street",Tuckahoe,"New York",10707
1205839,"120 RICHARDS STREET",BROOKLYN,NY,,"120 Richards Street",Brooklyn,"New York",11231
1205840,"120 UNIVERSITY PLACE","NEW YORK",NY,10003,"120 University Place","New York","New York",10003
1205841,"120 VERMLIYEA AVENUE","NEW YORK",NY,,"120 Vermilyea Avenue","New York","New York",10034
1205842,"120 WEST 106TH STREET","NEW YORK",NY,,"120 West 106th Street","New York","New York",10025
1205843,"120 WEST 176TH STREET",BRONX,NY,,"120 West 176th Street",Bronx,"New York",10453
1205844,"120 WEST 28TH STREET","NEW YORK",NY,,"120 West 28th Street","New York","New York",10001
1205845,"120 WEST 57TH STREET","NEW YORK",NY,,"120 West 57th Street","New York","New York",10019
1205846,"120 WEST 75TH STREET","NEW YORK",NY,10023,"120 West 75th Street","New York","New York",10023
1205847,"120 WEST 80TH STREET","NEW YORK",NY,,"120 West 80th Street","New York","New York",10024
1205848,"120 WEST 82ND ST.","NEW YORK",NY,,"120 West 82nd Street","New York","New York",10024
