id,street,city,state,postalcode,Google/street,Google/city,Google/state,Google/postalcode
1205155,"100 NORTH 3RD STREET",BROOKLYN,NY,,"100 North 3rd Street",Brooklyn,"New York",11249
1205156,"100 OVERLOOK CIRCLE","NEW ROCHELLE",NY,10803,"100 Overlook Circle","New Rochelle","New York",10804
1205157,"100 OVERLOOK TERRACE","NEW YORK",NY,,"100 Overlook Terrace","New York","New York",10040
1205158,"100 OVERLOOK TERRACE","NEW YORK",NY,,"100 Overlook Terrace","New York","New York",10040
1205159,"100 PARKWAY ROAD",BRONXVILLE,NY,,"100 Parkway Road",Bronxville,"New York",10708
1205160,"100 RALPH AVE",BROOKLYN,NY,,"100 Ralph Avenue",Brooklyn,"New York",11221
1205161,"100 ST. NICHOLAS AVE","NEW YORK",NY,,"100 Saint Nicholas Avenue","New York","New York",10026
1205162,"100 TOWN HILL RD #408",NANUET,NY,,"100 Town Hill Condominium",Nanuet,"New York",10954
1205163,"100 VAN COURTLANDT PARK SO.",BRONX,NY,10463,"100 Van Cortlandt Park South",Bronx,"New York",10463
1205164,"100 WEST 119TH STREET","NEW YORK",NY,,"100 West 119th Street","New York","New York",10026
1205165,"100 WEST 134TH STREET","NEW YORK",NY,,"100 West 134th Street","New York","New York",10030
1205166,"100 WEST 15TH STREET","NEW YORK",NY,,"100 West 15th Street","New York","New York",10011
1205167,"100 WEST 23RD STREET","NEW YORK",NY,,"100 West 23rd Street","New York","New York",10011
1205168,"100 WEST 58TH STREET","NEW YORK",NY,,"100 West 58th Street","New York","New York",10019
1205169,"100 WEST 74TH STREET","NEW YORK",NY,,"100 West 74th Street","New York","New York",10023
1205170,"100 WEST 92ND STREET","NEW YORK",NY,,"100 West 92nd Street","New York","New York",10025
1205171,"100-02 ROCKAWAY BLVD","OZONE PARK",NY,,"100-02 Rockaway Boulevard",Queens,"New York",11417
1205172,"100-18 39TH AVE",CORONA,NY,,"100-18 39th Avenue",Queens,"New York",11368
1205173,"100/10 EAST 188TH STREET",BRONX,NY,10468,"100 East 188th Street",Bronx,"New York",10468
1205174,"1000 BAYCHESTER AVENUE",BRONX,NY,,"1000 Baychester Avenue",Bronx,"New York",10475
1205175,"1000 GRAND CONCOURSE",BRONX,NY,,"1000 Grand Concourse",Bronx,"New York",10456
1205176,"1000 S EIGHT AVENUE","NEW YORK",NY,,"1000 8th Avenue","New York","New York",10019
1205177,"1000 SAW MILL RIVER RD",YONKERS,NY,,"1000 Saw Mill River Road",Yonkers,"New York",10710
1205178,"1000 SIMPSON STREET",BRONX,NY,,"1000 Simpson Street",Bronx,"New York",10459
1205179,"1000 SIXTH AVENUE","NEW YORK",NY,,"1000 6th Avenue","New York","New York",10018
1205180,"1000 SUTTER AVE.",BROOKLYN,NY,11208,"1000 Sutter Avenue",Brooklyn,"New York",11208
1205181,"1001 AVE. OF THE AMERICAS, 6TH FLOOR","NEW YORK",NY,10018,"1001 6th Avenue","New York","New York",10018
1205182,"1001 INTERVALE AVE",BRONX,NY,,"1001 Intervale Avenue",Bronx,"New York",10459
1205183,"1001 SPRINGFIELD AVE",IRVINGTON,NJ,,"1001 Springfield Avenue",Irvington,"New Jersey",07111
1205184,"1002 OLD COUNTRY RD","GARDEN CITY",NY,,"1002 Old Country Road","Garden City","New York",11530
1205185,"1003-07 GRANT AVENUE",BRONX,NY,,"1003 Grant Avenue",Bronx,"New York",10456
1205186,"1006 INTERVALE AVENUE",BRONX,NY,,"1006 Intervale Avenue",Bronx,"New York",10459
1205187,"1007 LEXINGTON AVE","NEW YORK",NY,,"1007 Lexington Avenue","New York","New York",10021
1205188,"1008 MORRIS PARK AVE",BRONX,NY,,"1008 Morris Park Avenue",Bronx,"New York",10462
1205189,"1008-1012 SUMMIT AVENUE",BRONX,NY,,"1008 Summit Avenue",Bronx,"New York",10452
1205190,"1008-12 SUMMIT AVE",BRONX,NY,,"1008 Summit Avenue",Bronx,"New York",10452
1205191,"1009 MADISON AVENUE","NEW YORK",NY,10021,"1009 Madison Avenue","New York","New York",10075
1205192,"101 EAST 123RD STREET","NEW YORK",NY,,"101 East 123rd Street","New York","New York",10035
1205193,"101 EAST 144TH STREET",BRONX,NY,,"101 East 144th Street",Bronx,"New York",10451
1205194,"101 EAST 144TH STREET",BRONX,NY,,"101 East 144th Street",Bronx,"New York",10451
1205195,"101 EAST 144TH STREET",BRONX,NY,,"101 East 144th Street",Bronx,"New York",10451
1205196,"101 EAST 69TH STREET","NEW YORK",NY,10021,"101 East 69th Street","New York","New York",10021
1205197,"101 NORTH BROADWAY",YONKERS,NY,10701,"101 North Broadway",Yonkers,"New York",10701
1205198,"101 OLD MAMARONECK ROAD","WHITE PLAINS",NY,,"101 Old Mamaroneck Road","White Plains","New York",10605
1205199,"101 ROUTE 9W","WEST HAVERSTRAW",NY,,"101 U.S. 9W","West Haverstraw","New York",10993
1205200,"101 SOUTH OXFORD STREET",BROOKLYN,NY,,"101 South Oxford Street",Brooklyn,"New York",11217
1205201,"101 THEALL ROAD",RYE,NY,,"101 Theall Road",Rye,"New York",10580
1205202,"101 TOMPKINS AVE","STATEN ISLAND",NY,,"101 Tompkins Avenue","Staten Island","New York",10304
1205203,"101 VAN BUREN STREET",BROOKLYN,NY,,"101 Van Buren Street",Brooklyn,"New York",11221
1205204,"101 WARREN STREET, AKA 401 HICKS STREET",BROOKLYN,NY,,"101 Warren Street",Brooklyn,"New York",11201
1205205,"101 WEST 117TH STREET","NEW YORK",NY,10026,"101 West 117th Street","New York","New York",10026
1205206,"101 WEST 145TH STREET","NEW YORK",NY,10039,"101 West 145th Street","New York","New York",10039
1205207,"101 WEST 55TH STREET","NEW YORK",NY,,"101 West 55th Street","New York","New York",10019
1205208,"101-112 TOWNHILL RD",NANUET,NY,,"101 Town Hill Condominium",Nanuet,"New York",10954
1205209,"101-32 101ST STREET","OZONE PARK",NY,,"101-32 101st Street",Queens,"New York",11416
1205210,"1010 FAILE STREET",BRONX,NY,10467,"1010 Faile Street",Bronx,"New York",10459
1205211,"1010 RUTLAND RD",BROOKLYN,NY,,"1010 Rutland Road",Brooklyn,"New York",11212
1205212,"1010 SHERMAN AVENUE",BRONX,NY,10456,"1010 Sherman Avenue",Bronx,"New York",10456
1205213,"1010 SOUTHERN BLVD.",BRONX,NY,,"1010 Southern Boulevard",Bronx,"New York",10459
1205214,"1011 CARROLL PLACE",BRONX,NY,,"1011 Carroll Place",Bronx,"New York",10456
1205215,"1011 CASTLE HILL AVE",BRONX,NY,10472,"1011 Castle Hill Avenue",Bronx,"New York",10472
1205216,"1011 RUTLAND RD",BROOKLYN,NY,,"1011 Rutland Road",Brooklyn,"New York",11212
1205217,"1011 SOUTHERN BLVD.",BRONX,NY,10459,"1011 Southern Boulevard",Bronx,"New York",10459
1205218,"1011 WASHINGTON AVE",BRONX,NY,,"1011 Washington Avenue",Bronx,"New York",10456
1205219,"1012 FAILE STREET",BRONX,NY,10467,"1012 Faile Street",Bronx,"New York",10459
1205220,"1014 FAILE STREET",BRONX,NY,10467,"1014 Faile Street",Bronx,"New York",10459
1205221,"1015 BOYNTON AVE",BRONX,NY,,"1015 Boynton Avenue",Bronx,"New York",10472
1205222,"1015 FAILE STREET",BRONX,NY,10467,"1015 Faile Street",Bronx,"New York",10459
1205223,"1015 PUTNAM AVE",BROOKLYN,NY,,"1015 Putnam Avenue",Brooklyn,"New York",11221
1205224,"1016 EAST 174TH STREET",BRONX,NY,,"1016 East 174th Street",Bronx,"New York",10460
1205225,"1016 EDISON AVENUE",BRONX,NY,10465,"1016 Edison Avenue",Bronx,"New York",10465
1205226,"1016 FAILE STREET",BRONX,NY,10467,"1016 Faile Street",Bronx,"New York",10459
1205227,"1016 LEXINGTON AVE","NEW YORK",NY,,"1016 Lexington Avenue","New York","New York",10021
1205228,"1017 FAILE STREET",BRONX,NY,10467,"1017 Faile Street",Bronx,"New York",10459
1205229,"1018 FAILE STREET",BRONX,NY,10467,"1018 Faile Street",Bronx,"New York",10459
1205230,"1019 FAILE STREET",BRONX,NY,10467,"1019 Faile Street",Bronx,"New York",10459
1205231,"102 CENTRE AVE","NEW ROCHELLE",NY,,"102 Centre Avenue","New Rochelle","New York",10801
1205232,"102 EAST 31ST STREET","NEW YORK",NY,,"102 East 31st Street","New York","New York",10016
1205233,"102 WEST 137TH STREET","NEW YORK",NY,,"102 West 137th Street","New York","New York",10030
1205234,"102-05 32ND AVE","EAST ELMHURST",NY,,"102-05 32nd Avenue",Queens,"New York",11369
1205235,"102-06 FIRST AVE. (6TH ST)","NEW YORK",NY,10009,"102 1st Avenue","New York","New York",10009
1205236,"102-10 QUEENS BLVD","FOREST HILLS",NY,,"102-10 Queens Boulevard",Queens,"New York",11375
1205237,"1020 AMSTERDAM AVE. 110TH ST.","NEW YORK",NY,10025,"1020 Amsterdam Avenue","New York","New York",10025
1205238,"1020 FAILE STREET",BRONX,NY,10467,"1020 Faile Street",Bronx,"New York",10459
1205239,"1020 MONROE AVENUE",BRONX,NY,,"1020 Monroe Avenue",Bronx,"New York",10457
1205240,"1020 SUMMIT AVENUE",BRONX,NY,,"1020 Summit Avenue",Bronx,"New York",10452
1205241,"1020 WARBURTON AVE",YONKERS,NY,,"1020 Warburton Avenue",Yonkers,"New York",10701
1205242,"1021 FAILE STREET",BRONX,NY,10467,"1021 Faile Street",Bronx,"New York",10459
1205243,"1021 SAW MILL RIVER RD",YONKERS,NY,,"1021 Saw Mill River Road",Yonkers,"New York",10710
1205244,"1022 FAILE STREET",BRONX,NY,10467,"1022 Faile Street",Bronx,"New York",10459
1205245,"1023 AVE OF THE AMERICAS","NEW YORK",NY,,"1023 6th Avenue","New York","New York",10018
1205246,"1023 FAILE STREET",BRONX,NY,10467,"1023 Faile Street",Bronx,"New York",10459
1205247,"1025 COVE ROAD",MAMARONECK,NY,,"1025 Cove Road",Mamaroneck,"New York",10543
1205248,"1025 ESPLANADE AVE.",BRONX,NY,10461,"1025 Esplanade Avenue",Bronx,"New York",10461
1205249,"1025 FAILE STREET",BRONX,NY,10467,"1025 Faile Street",Bronx,"New York",10459
1205250,"1025 SAW MILL RIVER RD",YONKERS,NY,,"1025 Saw Mill River Road",Yonkers,"New York",10710
1205251,"1029 FAILE STREET",BRONX,NY,10467,"1029 Faile Street",Bronx,"New York",10459
1205252,"103 HALSEY STREET",BROOKLYN,NY,,"103 Halsey Street",Brooklyn,"New York",11216
1205253,"103 WEST 118TH STREET","NEW YORK",NY,,"103 West 118th Street","New York","New York",10026
1205254,"103 WEST 118TH STREET","NEW YORK",NY,,"103 West 118th Street","New York","New York",10026
1205255,"103 WEST 28TH STREET","NEW YORK",NY,,"103 West 28th Street","New York","New York",10001
1205256,"103-39 98TH STREET","OZONE PARK",NY,,"103-39 98th Street",Queens,"New York",11417
1205257,"103-53 101ST STREET","OZONE PARK",NY,,"103-53 101st Street",Queens,"New York",11417
1205258,"1030 86TH STREET",BROOKLYN,NY,11228,"1030 86th Street",Brooklyn,"New York",11228
1205259,"1030 FAILE STREET",BRONX,NY,10467,"1030 Faile Street",Bronx,"New York",10459
1205260,"1030 OLD COUNTRY ROAD","GARDEN CITY",NY,,"1030 Old Country Road",Westbury,"New York",11590
1205261,"1030 SHERIDAN AVENUE",BRONX,NY,10451,"1030 Sheridan Avenue",Bronx,"New York",10456
1205262,"1031 BERGEN STREET",BROOKLYN,NY,,"1031 Bergen Street",Brooklyn,"New York",11216
1205263,"1032 FAILE STREET",BRONX,NY,10467,"1032 Faile Street",Bronx,"New York",10459
1205264,"1034 FAILE STREET",BRONX,NY,,"1034 Faile Street",Bronx,"New York",10459
1205265,"1034 NORTH BROADWAY",YONKERS,NY,,"1034 North Broadway",Yonkers,"New York",10701
1205266,"1035 BOYNTON AVE",BRONX,NY,,"1035 Boynton Avenue",Bronx,"New York",10472
1205267,"1035 E. BOSTON POST ROAD",MAMARONECK,NY,10543,"1035 East Boston Post Road",Mamaroneck,"New York",10543
1205268,"1035 EAST BOSTON POST RD",MAMARONECK,NY,,"1035 East Boston Post Road",Mamaroneck,"New York",10543
1205269,"1035 FIFTH AVENUE","NEW YORK",NY,,"1035 5th Avenue","New York","New York",10028
1205270,"1035 HALL PLACE",BRONX,NY,,"1035 Hall Place",Bronx,"New York",10459
1205271,"1035 LONGWOOD AVENUE",BRONX,NY,,"1035 Longwood Avenue",Bronx,"New York",10459
1205272,"1036 FAILE STREET",BRONX,NY,10467,"1036 Faile Street",Bronx,"New York",10459
1205273,"1036 INTERVALE AVE",BRONX,NY,,"1036 Intervale Avenue",Bronx,"New York",10459
1205274,"1036 LEXINGTON AVE","NEW YORK",NY,,"1036 Lexington Avenue","New York","New York",10021
1205275,"1037 FAILE STREET",BRONX,NY,10467,"1037 Faile Street",Bronx,"New York",10459
1205276,"1039 FAILE STREET",BRONX,NY,10467,"1039 Faile Street",Bronx,"New York",10459
1205277,"1039 INTERVALE AVE",BRONX,NY,,"1039 Intervale Avenue",Bronx,"New York",10459
1205278,"104 3RD AVENUE","NEW YORK",NY,10003,"104 3rd Avenue","New York","New York",10003
1205279,"104 DELANCEY STREET","NEW YORK",NY,,"104 Delancey Street","New York","New York",10002
1205280,"104 EAST 17TH STREET","NEW YORK",NY,,"104 East 17th Street","New York","New York",10003
1205281,"104 EAST 17TH STREET","NEW YORK",NY,10003,"104 East 17th Street","New York","New York",10003
1205282,"104 EAST 40TH STREET","NEW YORK",NY,10016,"104 East 40th Street","New York","New York",10016
1205283,"104 GOLD STREET",BROOKLYN,NY,,"104 Gold Street",Brooklyn,"New York",11201
1205284,"104 PERRY STREET","NEW YORK",NY,,"104 Perry Street","New York","New York",10014
1205285,"104 WEST 122ND STREET","NEW YORK",NY,,"104 West 122nd Street","New York","New York",10027
1205286,"104 WEST 40TH","NEW YORK",NY,,"104 West 40th Street","New York","New York",10018
1205287,"104-01 FOSTER AVENUE ",BROOKLYN,NY,11236,"10401 Foster Avenue",Brooklyn,"New York",11236
1205288,"104-14 186TH ST.","ST. ALBANS",NY,11412,"104-14 186th Street",Queens,"New York",11412
1205289,"1040 GRAND CONCOURSE",BRONX,NY,,"1040 Grand Concourse",Bronx,"New York",10456
1205290,"1041 PUGSLEY AVE",BRONX,NY,10462,"1041 Pugsley Avenue",Bronx,"New York",10472
1205291,"1041 PUGSLEY AVENUE",BRONX,NY,10472,"1041 Pugsley Avenue",Bronx,"New York",10472
1205292,"1041 UNIVERSITY AVENUE",BRONX,NY,,"1041 University Avenue",Bronx,"New York",10452
1205293,"1041/1055 FINDLAY AVENUE",BRONX,NY,,"1055 Findlay Avenue",Bronx,"New York",10456
1205294,"1042 FAILE STREET",BRONX,NY,10467,"1042 Faile Street",Bronx,"New York",10459
1205295,"1043 FAILE STREET",BRONX,NY,10467,"1043 Faile Street",Bronx,"New York",10459
1205296,"1044 MORRIS AVE",BRONX,NY,,"1044 Morris Avenue",Bronx,"New York",10456
1205297,"1045 FAILE STREET",BRONX,NY,10467,"1045 Faile Street",Bronx,"New York",10459
1205298,"1045 FIRST AVENUE","NEW YORK",NY,10022,"1045 1st Avenue","New York","New York",10022
1205299,"1045 WEBSTER AVE",BRONX,NY,,"1045 Webster Avenue",Bronx,"New York",10456
1205300,"1046 FAILE STREET",BRONX,NY,10467,"1046 Faile Street",Bronx,"New York",10459
1205301,"1047 FAILE STREET",BRONX,NY,10467,"1047 Faile Street",Bronx,"New York",10459
1205302,"1049 FAILE STREET",BRONX,NY,10467,"1049 Faile Street",Bronx,"New York",10459
1205303,"1049 GRAND CONCOURSE",BRONX,NY,,"1049 Grand Concourse",Bronx,"New York",10452
1205304,"1049 SAW MILL RIVER RD",YONKERS,NY,,"1049 Saw Mill River Road",Yonkers,"New York",10710
1205305,"105 EAST 116TH STREET","NEW YORK",NY,,"105 East 116th Street","New York","New York",10029
1205306,"105 EAST 37TH STREET","NEW YORK",NY,10016,"105 East 37th Street","New York","New York",10016
1205307,"105 GARTH ROAD",SCARSDALE,NY,,"105 Garth Road",Scarsdale,"New York",10583
1205308,"105 WEST 117TH STREET","NEW YORK",NY,10026,"105 West 117th Street","New York","New York",10026
1205309,"105 WEST 188TH STREET, AKA 101/107 FATHER ZEISER PL",BRONX,NY,10468,"105 Father Zeiser Place",Bronx,"New York",10468
1205310,"105 WEST 188TH STREET",BRONX,NY,,"105 West 188th Street",Bronx,"New York",10468
1205311,"105-10 QUEENS BLVD.","FOREST HILLS",NY,10314,"10510 Queens Boulevard",Queens,"New York",11375
1205312,"105-145 WEST 168TH STREET",BRONX,NY,,"105 West 168th Street",Bronx,"New York",10452
1205313,"105-34 ROCKAWAY BLVD",QUEENS,NY,,"105-34 Rockaway Boulevard",Queens,"New York",11417
1205314,"1050 HOE AVENUE",BRONX,NY,10459,"1050 Hoe Avenue",Bronx,"New York",10459
1205315,"1050 LOWELL STREET","BRONX, NY",NY,,"1050 Lowell Street",Bronx,"New York",10459
1205316,"1050 WESTCHESTER AVE",BRONX,NY,10459,"1050 Westchester Avenue",Bronx,"New York",10459
1205317,"1051 EASTERN PARKWAY",BROOKLYN,NY,,"1051 Eastern Parkway",Brooklyn,"New York",11213
1205318,"1051 FAILE STREET",BRONX,NY,10467,"1051 Faile Street",Bronx,"New York",10459
1205319,"1051 RIVERSIDE DRIVE, 5TH FLOOR","NEW YORK",NY,,"1051 Riverside Drive","New York","New York",10032
1205320,"1053 SECOND AVENUE","NEW YORK",NY,,"1053 2nd Avenue","New York","New York",10022
1205321,"1053 WEST BOSTON POST RD",MAMARONECK,NY,,"1053 West Boston Post Road",Mamaroneck,"New York",10543
1205322,"1053 YONKERS AVE",YONKERS,NY,,"1053 Yonkers Avenue",Yonkers,"New York",10704
1205323,"1054 WALTON AVENUE",MAMARONECK,NY,10543,"1054 Walton Avenue",Mamaroneck,"New York",10543
1205324,"1055 BRONX RIVER AVE.",BRONX,NY,10472,"1055 Bronx River Avenue",Bronx,"New York",10472
1205325,"1055 EAST TREMONT AVE",BRONX,NY,,"1055 East Tremont Avenue",Bronx,"New York",10460
1205326,"1057 CLAY AVENUE",BRONX,NY,10456,"1057 Clay Avenue",Bronx,"New York",10456
1205327,"1057 FULTON ST.",BROOKLYN,NY,,"1057 Fulton Street",Brooklyn,"New York",11238
1205328,"1057 HOE AVE",BRONX,NY,,"1057 Hoe Avenue",Bronx,"New York",10459
1205329,"1057 HOE AVE.",BRONX,NY,10469,"1057 Hoe Avenue",Bronx,"New York",10459
1205330,"106 CALVERT ST.",HARRISON,NY,10528,"106 Calvert Street",Harrison,"New York",10528
1205331,"106 CANAL STREET","NEW YORK",NY,,"106 Canal Street","New York","New York",10002
1205332,"106 EAST 17TH STREET","NEW YORK",NY,,"106 East 17th Street","New York","New York",10003
1205333,"106 EAST 17TH STREET","NEW YORK",NY,10003,"106 East 17th Street","New York","New York",10003
1205334,"106 LOCUST HILL AVE",YONKERS,NY,,"106 Locust Hill Avenue",Yonkers,"New York",10701
1205335,"106 MORNINGSIDE DRIVE","NEW YORK",NY,,"106 Morningside Drive","New York","New York",10027
1205336,"106 PERRY STREET","NEW YORK",NY,,"106 Perry Street","New York","New York",10014
1205337,"106 PINEHURST AVENUE","NEW YORK",NY,10033,"106 Pinehurst Avenue","New York","New York",10033
1205338,"106 WEST 116TH STREET","NEW YORK",NY,,"106 West 116th Street","New York","New York",10026
1205339,"106 WEST 116TH STREET","NEW YORK",NY,,"106 West 116th Street","New York","New York",10026
1205340,"106 WEST 117TH STREET","NEW YORK",NY,10026,"106 West 117th Street","New York","New York",10026
1205341,"106 WEST 123RD STREET","NEW YORK",NY,,"106 West 123rd Street","New York","New York",10027
1205342,"106 WEST 137TH STREET","NEW YORK",NY,,"106 West 137th Street","New York","New York",10030
1205343,"106 WEST 142ND STREET","NEW YORK",NY,,"106 West 142nd Street","New York","New York",10030
1205344,"106 WEST 71ST STREET","NEW YORK",NY,,"106 West 71st Street","New York","New York",10023
1205345,"1060 AMSTERDAM AVENUE","NEW YORK",NY,,"1060 Amsterdam Avenue","New York","New York",10025
1205346,"1060 SHERMAN AVE",BRONX,NY,,"1060 Sherman Avenue",Bronx,"New York",10456
1205347,"1061 HALL PLACE",BRONX,NY,,"1061 Hall Place",Bronx,"New York",10459
1205348,"1062-1144 WILMOT ROAD",SCARSDALE,NY,,"1062 Wilmot Road",Scarsdale,"New York",10583
1205349,"1065 GERARD AVE",BRONX,NY,,"1065 Gerard Avenue",Bronx,"New York",10452
1205350,"1065 GERARD AVENUE",BRONX,NY,,"1065 Gerard Avenue",Bronx,"New York",10452
1205351,"1065 GERARD AVENUE",BRONX,NY,10452,"1065 Gerard Avenue",Bronx,"New York",10452
1205352,"1068 FINDLAY AVENUE",BRONX,NY,10456,"1068 Findlay Avenue",Bronx,"New York",10456
1205353,"1068 FRANKLIN AVE",BRONX,NY,,"1068 Franklin Avenue",Bronx,"New York",10456
1205354,"1068 GERARD AVE",BRONX,NY,,"1068 Gerard Avenue",Bronx,"New York",10452
1205355,"1069 WALTON AVENUE",BRONX,NY,10452,"1069 Walton Avenue",Bronx,"New York",10452
1205356,"107 EAST 60TH STREET","NEW YORK",NY,,"107 East 60th Street","New York","New York",10022
1205357,"107 GREENE STREET","NEW YORK",NY,,"107 Greene Street","New York","New York",10012
1205358,"107 WEST 4TH STREET","MT. VERNON",NY,10550,"107 West 4th Street","Mount Vernon","New York",10550
1205359,"107 WEST 75TH STREET","NEW YORK",NY,,"107 West 75th Street","New York","New York",10023
1205360,"107-109-111 WEST 82ND STREET","NEW YORK",NY,,"107 West 82nd Street","New York","New York",10024
1205361,"107-15 71ST ROAD","FOREST HILLS",NY,,"107-15 71st Road",Queens,"New York",11375
1205362,"107/11 EAST 30TH STREET","NEW YORK",NY,10016,"11 East 30th Street","New York","New York",10016
1205363,"1070 ANDERSON AVENUE",BRONX,NY,,"1070 Anderson Avenue",Bronx,"New York",10452
1205364,"1070 OLD NORTHERN BLVD",ROSLYN,NY,,"1070 Old Northern Boulevard",Roslyn,"New York",11576
1205365,"1070/76 PARK AVENUE","NEW YORK",NY,10028,"76 Park Avenue","New York","New York",10035
1205366,"1071 BERGEN STREET",BROOKLYN,NY,,"1071 Bergen Street",Brooklyn,"New York",11216
1205367,"1072 GRAND CONCOURSE",BRONX,NY,10456,"1072 Grand Concourse",Bronx,"New York",10456
1205368,"1072 GRAND CONCOURSE",BRONX,NY,,"1072 Grand Concourse",Bronx,"New York",10456
1205369,"1073 NORTHER BLVD",ROSLYN,NY,,"1073 Northern Boulevard",Roslyn,"New York",11576
1205370,"1074 HOME STREET",BRONX,NY,10459,"1074 Home Street",Bronx,"New York",10459
1205371,"1074 LEXINGTON AVENUE","NEW YORK",NY,,"1074 Lexington Avenue","New York","New York",10021
1205372,"1075 BROADWAY",PLEASANTVILLE,NY,10570,"1075 Broadway",Pleasantville,"New York",10570
1205373,"1075 GERARD AVENUE",BRONX,NY,,"1075 Gerard Avenue",Bronx,"New York",10452
1205374,"1075 LONGFELLOW AVE",BRONX,NY,,"1075 Longfellow Avenue",Bronx,"New York",10459
1205375,"1075 OCEAN PARKWAY",BROOKLYN,NY,,"1075 Ocean Parkway",Brooklyn,"New York",11230
1205376,"1076 FAILE STREET",BRONX,NY,,"1076 Faile Street",Bronx,"New York",10459
1205377,"1076 TELLER AVE",BRONX,NY,,"1076 Teller Avenue",Bronx,"New York",10456
1205378,"1077 SOUTHERN BLVD",BRONX,NY,,"1077 Southern Boulevard",Bronx,"New York",10459
1205379,"1078-82 BEDFORD AVE",BROOKLYN,NY,11206,"1078 Bedford Avenue",Brooklyn,"New York",11216
1205380,"108 EAST 123RD STREET","NEW YORK",NY,,"108 East 123rd Street","New York","New York",10035
1205381,"108 EAST 17TH STREET","NEW YORK",NY,,"108 East 17th Street","New York","New York",10003
1205382,"108 EAST 17TH STREET","NEW YORK",NY,10003,"108 East 17th Street","New York","New York",10003
1205383,"108 EAST 81ST STREET","NEW YORK",NY,,"108 East 81st Street","New York","New York",10028
1205384,"108 EAST 91ST ST.","NEW YORK",NY,,"108 East 91st Street","New York","New York",10128
1205385,"108 KNICKERBOCKER AVE",BROOKLYN,NY,,"108 Knickerbocker Avenue",Brooklyn,"New York",11237
1205386,"108 SOUTH OXFORD STREET, AKA 773 FULTON STREET",BROOKLYN,NY,,"773 Fulton Street",Brooklyn,"New York",11217
1205387,"108 WEST 135TH STREET","NEW YORK",NY,,"108 West 135th Street","New York","New York",10030
1205388,"108 WEST 75TH STREET","NEW YORK",NY,,"108 West 75th Street","New York","New York",10023
1205389,"108-05 ASTORIA BLVD.","E. ELHMHURST",NY,,"108-05 Astoria Boulevard",Queens,"New York",11369
1205390,"108-10 WEST 25TH STREET","NEW YORK",NY,,"108 West 25th Street","New York","New York",10001
1205391,"108-14 EAST 89TH ST.","NEW YORK",NY,10022,"108 East 89th Street","New York","New York",10128
1205392,"1080 ANDERSON AVE",BRONX,NY,,"1080 Anderson Avenue",Bronx,"New York",10452
1205393,"1080 LEGGETT AVE",BRONX,NY,,"1080 Leggett Avenue",Bronx,"New York",10474
1205394,"1082 SOUTHERN BLVD",BRONX,NY,,"1082 Southern Boulevard",Bronx,"New York",10459
1205395,"1083 LONGFELLOW AVE",BRONX,NY,,"1083 Longfellow Avenue",Bronx,"New York",10459
